customer_id,order_date,total_amount
1,2025-12-18,117.84
1,2025-12-12,48.72
1,2025-12-14,42.0
1,2025-12-22,133.94
1,2025-11-27,47.14
1,2025-12-30,32.47
1,2025-12-31,116.64
2,2025-12-31,26.82
3,2025-11-05,92.97
3,2025-11-19,32.77
3,2025-12-06,103.42
3,2025-11-21,35.6
3,2025-11-03,73.96
3,2025-11-16,104.21
4,2025-11-06,35.57
4,2025-11-12,111.64
4,2025-12-24,37.81
4,2025-12-29,143.06
4,2025-12-19,127.01
4,2025-12-24,31.92
5,2025-11-16,111.99
5,2025-11-19,89.42
5,2025-11-16,50.8
5,2025-12-16,61.05
5,2025-11-23,120.64
5,2025-12-27,54.95
6,2025-12-15,123.02
6,2025-11-29,77.42
6,2025-11-27,101.75
6,2025-11-15,69.18
6,2025-12-19,53.52
6,2025-11-06,145.34
6,2025-12-12,76.64
7,2025-12-09,72.81
7,2025-11-03,102.84
7,2025-11-18,46.91
7,2025-12-18,49.83
7,2025-12-08,148.43
7,2025-12-09,77.39
7,2025-12-25,30.66
8,2025-08-19,78.32
9,2025-11-22,93.2
10,2025-12-21,36.51
11,2025-12-28,391.84
11,2025-12-25,209.89
11,2025-12-30,288.89
11,2025-12-28,488.68
11,2025-12-30,404.31
11,2025-12-19,297.52
11,2025-12-24,384.27
11,2025-12-23,275.73
11,2025-12-14,112.57
11,2025-12-26,290.15
11,2025-12-29,463.03
11,2025-12-26,264.15
11,2025-12-22,181.22
11,2025-12-20,130.79
11,2025-12-14,164.49
11,2025-12-31,349.74
12,2025-12-27,84.78
12,2025-11-19,52.39
12,2025-12-03,135.99
12,2025-11-05,44.65
12,2025-12-08,68.16
12,2025-11-30,62.66
12,2025-12-06,81.25
13,2025-12-30,20.56
14,2025-11-26,113.09
14,2025-11-21,70.51
14,2025-12-18,50.19
15,2025-11-11,73.64
15,2025-11-14,60.47
15,2025-12-21,60.21
16,2025-11-26,64.18
16,2025-12-16,62.01
16,2025-12-31,90.32
17,2026-01-01,353.74
